case_id,modality,exists,shape,dtype,file_mtime,marker_mtime,marker_after_file,min,max,mean,nan_pct,zero_pct,p01,p50,p99,labels_present,n_labels
BraTS-GLI-00009-101,t1n,True,182x218x182,float32,1783427306.1621504,1783427313.6009579,True,0.0,1.0,0.11843935400247574,0.0,81.81241960982862,0.0,0.0,0.9057003855705261,,
BraTS-GLI-00009-101,t1c,True,182x218x182,float32,1783427308.0845387,1783427313.6009579,True,0.0,1.0,0.062266211956739426,0.0,81.81241960982862,0.0,0.0,0.5126436352729797,,
BraTS-GLI-00009-101,t2w,True,182x218x182,float32,1783427311.0619514,1783427313.6009579,True,0.0,1.0,0.05072076991200447,0.0,81.81241960982862,0.0,0.0,0.6573061347007751,,
BraTS-GLI-00009-101,t2f,True,182x218x182,float32,1783427313.5899522,1783427313.6009579,True,0.0,1.0,0.09450919181108475,0.0,81.81241960982862,0.0,0.0,0.7778464555740356,,
BraTS-GLI-00009-101,seg,True,182x218x182,float32,1783427313.5899522,1783427313.6009579,True,,,,,,,,,0 1 2 3 4,5.0
BraTS-GLI-02306-100,t1n,True,182x218x182,float32,1783427845.1799066,1783427855.0673358,True,0.0,1.0,0.131591334939003,0.0,77.68079410256041,0.0,0.0,0.9596928358078003,,
BraTS-GLI-02306-100,t1c,True,182x218x182,float32,1783427848.2347794,1783427855.0673358,True,0.0,1.0,0.045420337468385696,0.0,77.68403463660042,0.0,0.0,0.49356019496917725,,
BraTS-GLI-02306-100,t2w,True,182x218x182,float32,1783427851.699693,1783427855.0673358,True,0.0,1.0,0.09393332898616791,0.0,77.71645382543659,0.0,0.0,0.7072741985321045,,
BraTS-GLI-02306-100,t2f,True,182x218x182,float32,1783427855.0206373,1783427855.0673358,True,0.0,1.0,0.134872168302536,0.0,77.68341145697734,0.0,0.0,0.8198049068450928,,
BraTS-GLI-02306-100,seg,True,182x218x182,float64,1783427855.051099,1783427855.0673358,True,,,,,,,,,0 1 2 3,4.0
BraTS-GLI-03059-100,t1n,True,182x218x182,float32,1783433888.6507225,1783433898.0407395,True,0.0,1.0,0.14517633616924286,0.0,77.73956686523478,0.0,0.0,0.9476193785667419,,
BraTS-GLI-03059-100,t1c,True,182x218x182,float32,1783433890.9897015,1783433898.0407395,True,0.0,1.0,0.11061033606529236,0.0,77.73956686523478,0.0,0.0,0.6748186349868774,,
BraTS-GLI-03059-100,t2w,True,182x218x182,float32,1783433894.3694818,1783433898.0407395,True,0.0,1.0,0.05655848607420921,0.0,77.73964995585119,0.0,0.0,0.6319564580917358,,
BraTS-GLI-03059-100,t2f,True,182x218x182,float32,1783433898.029754,1783433898.0407395,True,0.0,1.0,0.1613384336233139,0.0,77.73962225897904,0.0,0.0,0.9361127614974976,,
BraTS-GLI-03059-100,seg,True,182x218x182,float32,1783433898.029754,1783433898.0407395,True,,,,,,,,,0 2 3 4,4.0
BraTS-GLI-03060-102,t1n,True,182x218x182,float32,1783428407.1401842,1783428417.2961154,True,0.0,1.0,0.09766054898500443,0.0,83.88796781401882,0.0,0.0,0.9556837677955627,,
BraTS-GLI-03060-102,t1c,True,182x218x182,float32,1783428409.8451135,1783428417.2961154,True,0.0,1.0,0.07608835399150848,0.0,83.88796781401882,0.0,0.0,0.6422836780548096,,
BraTS-GLI-03060-102,t2w,True,182x218x182,float32,1783428413.4724715,1783428417.2961154,True,0.0,1.0,0.05129879713058472,0.0,83.88796781401882,0.0,0.0,0.7646841406822205,,
BraTS-GLI-03060-102,t2f,True,182x218x182,float32,1783428417.2690701,1783428417.2961154,True,0.0,1.0,0.1027415469288826,0.0,83.88929726388139,0.0,0.0,0.8923596739768982,,
BraTS-GLI-03060-102,seg,True,182x218x182,float32,1783428417.2925634,1783428417.2961154,True,,,,,,,,,0 2 3 4,4.0
BraTS-GLI-03063-100,t1n,True,182x218x182,float32,1783428420.134106,1783428428.9472022,True,0.0,1.0,0.10908155143260956,0.0,82.70794257662894,0.0,0.0,0.9477070569992065,,
BraTS-GLI-03063-100,t1c,True,182x218x182,float32,1783428422.6375046,1783428428.9472022,True,0.0,1.0,0.06589239835739136,0.0,82.70794257662894,0.0,0.0,0.5117615461349487,,
BraTS-GLI-03063-100,t2w,True,182x218x182,float32,1783428425.7629445,1783428428.9472022,True,0.0,1.0,0.0571758858859539,0.0,82.70803951568142,0.0,0.0,0.7813207507133484,,
BraTS-GLI-03063-100,t2f,True,182x218x182,float32,1783428428.922966,1783428428.9472022,True,0.0,1.0,0.12103981524705887,0.0,82.70864884686843,0.0,0.0,0.9098622798919678,,
BraTS-GLI-03063-100,seg,True,182x218x182,float32,1783428428.9472022,1783428428.9472022,True,,,,,,,,,0 1 2 3 4,5.0
