case_id,modalidad,otsu_low,otsu_high,bimodalidad
BraTS-GLI-02070-102,t1n,257.6575012207031,371.8175354003906,0.568181574344635
BraTS-GLI-02070-102,t1c,317.2662658691406,608.1810302734375,0.21788962185382843
BraTS-GLI-02070-102,t2w,497.3398742675781,775.5394287109375,0.622031033039093
BraTS-GLI-02070-102,t2f,158.57264709472656,318.3406982421875,0.22922992706298828
BraTS-GLI-02072-101,t1n,135.118896484375,196.52239990234375,0.48497211933135986
BraTS-GLI-02072-101,t1c,178.59490966796875,384.1407165527344,0.3738028109073639
BraTS-GLI-02072-101,t2w,281.72674560546875,528.4405517578125,0.6797724366188049
BraTS-GLI-02072-101,t2f,100.12081909179688,165.37582397460938,0.1573239266872406
BraTS-GLI-02076-100,t1n,235.11135864257812,335.2309875488281,0.42924389243125916
BraTS-GLI-02076-100,t1c,298.816650390625,561.5206298828125,0.2763924300670624
BraTS-GLI-02076-100,t2w,480.62896728515625,771.564208984375,0.5754860043525696
BraTS-GLI-02076-100,t2f,159.53036499023438,293.1085205078125,0.27245399355888367
BraTS-GLI-02091-103,t1n,1279.747802734375,2048.65625,0.5328817367553711
BraTS-GLI-02091-103,t1c,1437.248291015625,2341.004150390625,0.1702762097120285
BraTS-GLI-02091-103,t2w,791.6991577148438,1332.08740234375,0.7379777431488037
BraTS-GLI-02091-103,t2f,697.7886962890625,1114.3984375,0.3959599733352661
BraTS-GLI-02119-101,t1n,143.143310546875,215.88705444335938,0.5073480010032654
BraTS-GLI-02119-101,t1c,186.94395446777344,353.6086120605469,0.2767567038536072
BraTS-GLI-02119-101,t2w,321.6907958984375,493.52252197265625,0.5708797574043274
BraTS-GLI-02119-101,t2f,171.12142944335938,284.1678161621094,0.5568284392356873
BraTS-GLI-02131-101,t1n,247.91468811035156,367.49993896484375,0.21657009422779083
BraTS-GLI-02131-101,t1c,339.4603271484375,592.662109375,0.16771617531776428
BraTS-GLI-02131-101,t2w,507.31854248046875,874.5836791992188,0.6348865032196045
BraTS-GLI-02131-101,t2f,143.44932556152344,231.7808837890625,0.21206684410572052
BraTS-GLI-02230-101,t1n,1209.861572265625,1948.243408203125,0.5138373970985413
BraTS-GLI-02230-101,t1c,1771.84130859375,3645.42041015625,0.28812167048454285
BraTS-GLI-02230-101,t2w,714.1951904296875,1225.37060546875,0.7073808312416077
BraTS-GLI-02230-101,t2f,555.3178100585938,860.4627685546875,0.4415813684463501
BraTS-GLI-02284-100,t1n,399.951904296875,674.5693359375,0.4432784616947174
BraTS-GLI-02284-100,t1c,718.5674438476562,1487.1466064453125,0.44685593247413635
BraTS-GLI-02284-100,t2w,2021.4188232421875,3478.671630859375,0.5873783826828003
BraTS-GLI-02284-100,t2f,486.54339599609375,894.7415771484375,0.22861264646053314
BraTS-GLI-02289-100,t1n,386.6714782714844,672.4629516601562,0.4719647467136383
BraTS-GLI-02289-100,t1c,671.9166259765625,1459.099365234375,0.33295148611068726
BraTS-GLI-02289-100,t2w,2301.45166015625,3581.690185546875,0.5728827714920044
BraTS-GLI-02289-100,t2f,393.96514892578125,698.6248779296875,0.5608470439910889
BraTS-GLI-02318-100,t1n,423.56292724609375,692.7701416015625,0.42880403995513916
BraTS-GLI-02318-100,t1c,759.1740112304688,1710.54638671875,0.5738800168037415
BraTS-GLI-02318-100,t2w,1667.3966064453125,2861.44482421875,0.5364913940429688
BraTS-GLI-02318-100,t2f,605.068115234375,1074.25732421875,0.33113184571266174
BraTS-GLI-02514-102,t1n,200.2273712158203,322.29620361328125,0.49658823013305664
BraTS-GLI-02514-102,t1c,284.53948974609375,619.1620483398438,0.2970288395881653
BraTS-GLI-02514-102,t2w,550.051513671875,952.8097534179688,0.6942926049232483
BraTS-GLI-02514-102,t2f,243.28616333007812,413.4233703613281,0.3690454661846161
BraTS-GLI-02520-103,t1n,120.31033325195312,197.55921936035156,0.4383089542388916
BraTS-GLI-02520-103,t1c,130.67111206054688,213.18792724609375,0.21071405708789825
BraTS-GLI-02520-103,t2w,408.5516357421875,689.3919677734375,0.6667947173118591
BraTS-GLI-02520-103,t2f,139.0604248046875,237.11767578125,0.43363237380981445
BraTS-GLI-02548-102,t1n,178.68817138671875,259.66595458984375,0.5032759308815002
BraTS-GLI-02548-102,t1c,241.92022705078125,385.4700927734375,0.1812620908021927
BraTS-GLI-02548-102,t2w,396.09954833984375,599.3480224609375,0.49434998631477356
BraTS-GLI-02548-102,t2f,58.91162872314453,105.09667205810547,0.29677140712738037
BraTS-GLI-02772-100,t1n,909.07080078125,1780.484130859375,0.6470893025398254
BraTS-GLI-02772-100,t1c,1641.2567138671875,3516.97412109375,0.21015553176403046
BraTS-GLI-02772-100,t2w,750.5125732421875,1295.466552734375,0.5518267750740051
BraTS-GLI-02772-100,t2f,325.70745849609375,558.6949462890625,0.47104600071907043
BraTS-GLI-02805-100,t1n,505.164794921875,822.545166015625,0.5377466082572937
BraTS-GLI-02805-100,t1c,546.4683837890625,1161.9073486328125,0.12869340181350708
BraTS-GLI-02805-100,t2w,787.3331298828125,1280.01904296875,0.38552749156951904
BraTS-GLI-02805-100,t2f,245.96832275390625,452.5045166015625,0.36298850178718567
BraTS-GLI-02827-100,t1n,392.1114196777344,620.685546875,0.5383297204971313
BraTS-GLI-02827-100,t1c,461.1142272949219,911.318115234375,0.12476574629545212
BraTS-GLI-02827-100,t2w,716.1049194335938,1259.65625,0.5094770789146423
BraTS-GLI-02827-100,t2f,363.12646484375,642.0737915039062,0.6459003686904907
BraTS-GLI-02838-101,t1n,2147.794677734375,3197.2705078125,0.5634479522705078
BraTS-GLI-02838-101,t1c,2543.471435546875,4931.716796875,0.22855257987976074
BraTS-GLI-02838-101,t2w,1808.4658203125,2921.6259765625,0.6332919001579285
BraTS-GLI-02838-101,t2f,694.80712890625,1256.6202392578125,0.4628118872642517
BraTS-GLI-02859-100,t1n,1120.829833984375,1810.5640869140625,0.5560171008110046
BraTS-GLI-02859-100,t1c,1187.0147705078125,1898.0108642578125,0.5563799738883972
BraTS-GLI-02859-100,t2w,1412.543701171875,2615.47314453125,0.6567773818969727
BraTS-GLI-02859-100,t2f,515.2075805664062,968.5902709960938,0.36732637882232666
BraTS-GLI-02863-100,t1n,1993.2642822265625,3222.9384765625,0.5387386083602905
BraTS-GLI-02863-100,t1c,2558.18359375,4950.7255859375,0.12884914875030518
BraTS-GLI-02863-100,t2w,1810.293212890625,2860.04833984375,0.3656066358089447
BraTS-GLI-02863-100,t2f,485.8621826171875,903.4566650390625,0.40698209404945374
BraTS-GLI-02876-101,t1n,1861.76904296875,2746.31640625,0.5981090664863586
BraTS-GLI-02876-101,t1c,2261.28857421875,4552.2236328125,0.2798801362514496
BraTS-GLI-02876-101,t2w,2435.02490234375,3792.92529296875,0.6012926697731018
BraTS-GLI-02876-101,t2f,458.41717529296875,824.9420166015625,0.2955852448940277
BraTS-GLI-02877-100,t1n,1565.523681640625,2609.203125,0.535722017288208
BraTS-GLI-02877-100,t1c,1469.038330078125,2431.935546875,0.15263377130031586
BraTS-GLI-02877-100,t2w,796.971435546875,1505.39013671875,0.6030995845794678
BraTS-GLI-02877-100,t2f,428.70660400390625,777.5810546875,0.5376261472702026
BraTS-GLI-02916-101,t1n,1442.70751953125,1930.7078857421875,0.5958212614059448
BraTS-GLI-02916-101,t1c,1603.54541015625,2153.75537109375,0.12155251204967499
BraTS-GLI-02916-101,t2w,800.251220703125,1429.600341796875,0.6878154873847961
BraTS-GLI-02916-101,t2f,367.0659484863281,608.7989501953125,0.42854708433151245
